CLUSTER,AVG_WEEKLY_THEO_WIN_mean,AVG_WEEKLY_THEO_WIN_median,USER_COUNT,AVG_WEEKLY_THEO_WIN_min,AVG_WEEKLY_THEO_WIN_max,AVG_WEEKLY_DAYS_PLAYED_mean,AVG_WEEKLY_DAYS_PLAYED_median,AVG_WEEKLY_DAYS_PLAYED_min,AVG_WEEKLY_DAYS_PLAYED_max
1,37.83415115091096,18.5139842454,290,10.0177245453,646.1444786052,1.0904597701149426,1.0,1.0,1.6666666666666667
2,159.68388176632308,46.244084627312496,233,10.2138,4712.6310188946,1.9552728387492335,2.0,1.3333333333333333,2.5
3,242.53861518397662,59.5871,161,10.331145884749999,11680.968000251922,3.1338065661047025,3.0,2.5,4.2
4,795.9879734868547,281.8268365372125,67,10.023056814366667,10395.9076437669,4.820398009950249,4.75,3.6666666666666665,6.5
